Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
6Xm0Cs6Fo4Hy,8/27/2024,No Response,4,No,,Customer Rep 1,,,Graduate,
6Tx9Bl4Ez5If,8/28/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/23/2024,24-25 Prime 100,Undergraduate,
6Kz9Yy8Io5Ty,8/28/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/27/2024,24-25 Prime 500,OPT,
7Hk6Ic9Le3As,8/28/2024,Enrolled,1,No,,Customer Rep 2,8/28/2024,24-25 Prime 500,OPT,
4Na3Nt6Ru9Zo,8/28/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/28/2024,24-25 Prime 500,Graduate,
6It0Sg0Cc0Jj,8/28/2024,Enrolled,1,No,,Customer Rep 2,8/28/2024,24-25 Elite,Undergraduate,23-24 Elite
8Zx6Za8Yl3Bc,8/30/2024,Enrolled,1,No,,Customer Rep 2,8/20/2024,24-25 Prime 500,J1,
4Fa9Hp6Ge7Oj,8/30/2024,Enrolled,1,No,,Customer Rep 2,8/21/2024,24-25 Prime 500,J1,
4Bj0Sv5Ju9Ug,8/30/2024,Enrolled,1,No,,Customer Rep 2,8/24/2024,24-25 Elite,Undergraduate,
9Jc6Vr2Ys8Qh,8/30/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/27/2024,24-25 Prime 500,Graduate,
4Hd6Nd4Qv3Il,8/30/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/28/2024,24-25 Supreme,Undergraduate,
8Rb3Nx6Yw1Ic,8/30/2024,Enrolled,1,No,,Customer Rep 2,8/29/2024,24-25 Prime 500,Undergraduate,
2Cl4Ns9Iu6Km,8/30/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/30/2024,24-25 Prime 100,OPT,
2Na1Ri5Ll5Ck,8/30/2024,Enrolled,1,Yes,,Customer Rep 2,8/31/2024,24-25 Prime 500,Graduate,
0Sh2Zp4Cs9Am,9/2/2024,Enrolled,3,Yes,Sales 1,Customer Rep 2,9/2/2024,24-25 Prime 500,Graduate,
6Ww5Ps2Xf0My,9/7/2024,Expired,2,No,,Customer Rep 2,9/4/2024,23-24 Prime 100,OPT,
2Mx5Vp1Gt5Hy,9/9/2024,Enrolled,1,No,,Customer Rep 3,8/21/2024,24-25 Prime 500,J1,
8Nc3Jb7Cr3Oy,9/9/2024,Enrolled,1,No,,Customer Rep 1,8/27/2024,24-25 Prime 500,Undergraduate,
8Nn8Rz1De9Sz,9/9/2024,Enrolled,1,Yes,,Customer Rep 2,9/9/2024,24-25 Prime 100,Undergraduate,23-24 Supreme
3Wk0Hj1Vi9Cw,9/9/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,9/10/2024,24-25 Prime 500,Graduate,
5Er0Hx9Ed5Ji,9/10/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,7/11/2024,24-25 Prime 100,OPT,
8Ao3Qs0Gd2Rl,9/10/2024,Enrolled,1,No,Sales 2,,7/23/2024,24-25 Supreme,Undergraduate,
